Drug,Number_of_Genes,Target_Genes,Sources
ISOSAKURANETIN,1,TRPM3,GuideToPharmacology
IRBESARTAN,1,APOB,PharmGKB
INTERLEUKIN-11,1,GFAP,NCI
INTERFERON-BETA,1,MMP1,NCI
INDORAMIN,1,ADRA1A,GuideToPharmacology
INCLISIRAN,1,APOB,PharmGKB
IMMUNOTOXIN,1,GFAP,NCI
LOMITAPIDE MESYLATE,1,APOB,PharmGKB
LSP4-2022,1,GRM4,GuideToPharmacology
DEBRISOQUIN,1,ADRA1A,TEND
LU AF21934,1,GRM4,GuideToPharmacology
METRELEPTIN,1,LEP,PharmGKB
METHYLPHENIDATE,1,ALDH1L1,PharmGKB
METHYLNITROSOUREA,1,GFAP,NCI
METHOXAMINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
METHOXAMINE,1,ADRA1A,TEND
METHOTRIMEPRAZINE,1,ADRA1A,TEND
METHIONINE,1,ALDH1L1,PharmGKB
METHAZOLAMIDE,1,CA4,"ChEMBL, GuideToPharmacology"
METHAMPHETAMINE,1,ADRA1A,TEND
METARAMINOL BITARTRATE,1,ADRA1A,ChEMBL
(+)-ADRENALINE,1,ADRA1A,GuideToPharmacology
MEPHENTERMINE SULFATE,1,ADRA1A,ChEMBL
MEPHENTERMINE,1,ADRA1A,TEND
MEFENAMIC ACID,1,TRPM3,GuideToPharmacology
MEDROXYPROGESTERONE ACETATE,1,MMP1,NCI
MEDETOMIDINE,1,ADRA1A,TTD
MAXADILAN,1,ADCYAP1R1,GuideToPharmacology
MASOPROCOL,1,GFAP,NCI
MAPROTILINE,1,TRPM3,GuideToPharmacology
M65,1,ADCYAP1R1,GuideToPharmacology
LY341495,1,GRM4,GuideToPharmacology
LUTROPIN ALFA,1,LHCGR,TEND
LUSUTROMBOPAG,1,PROC,PharmGKB
IMMUNOSUPPRESSANT,1,MMP1,NCI
ILOPERIDONE,1,ADRA1A,TdgClinicalTrial
HYDROXYAMPHETAMINE HYDROBROMIDE,1,ADRA1A,ChEMBL
HG2+,1,AQP7,GuideToPharmacology
ERGOLOID MESYLATES,1,ADRA1A,ChEMBL
EPIPREGNANOLONE SULPHATE,1,TRPM3,GuideToPharmacology
