Gene,Drug,Interaction,Source
MMP13,RIVAROXABAN,Unknown,PharmGKB
MMP13,TP0556351,inhibitor,GuideToPharmacology
MMP13,DOXYCYCLINE HYCLATE,inhibitor,ChEMBL
MMP13,CURCUMIN,Unknown,TTD
MMP13,MMP13 TRACER  [18F]5J,inhibitor,GuideToPharmacology
MMP13,"5-(2-ETHOXYETHYL)-5-[4-(4-FLUOROPHENOXY)PHENOXY]PYRIMIDINE-2,4,6(1H,3H,5H)-TRIONE",inhibitor,GuideToPharmacology
MMP13,CTS-1027,inhibitor,ChEMBL
MMP13,PF-152,inhibitor,GuideToPharmacology
MMP13,ILOMASTAT,inhibitor,GuideToPharmacology
MMP13,WAY170523,inhibitor,GuideToPharmacology
KCNB1,NERISPIRDINE,blocker,ChEMBL
KCNB1,AMIFAMPRIDINE PHOSPHATE,blocker,ChEMBL
KCNB1,DALFAMPRIDINE,blocker,ChEMBL
KCNB1,AMIFAMPRIDINE,blocker,ChEMBL
KCNB1,RY796,inhibitor,GuideToPharmacology
KCNB1,"3-BICYCLO[2.2.1]HEPT-2-YL-BENZENE-1,2-DIOL",blocker,GuideToPharmacology
KCNB1,RY785,inhibitor,GuideToPharmacology
KCNB1,LINOLEIC ACID,activator,GuideToPharmacology
KCNB1,GUANIDINE HYDROCHLORIDE,blocker,ChEMBL
KCNB1,TEDISAMIL,blocker,ChEMBL
KCNB1,GXTX-1E,inhibitor,GuideToPharmacology
NPY2R,PEPTIDE YY,agonist,TdgClinicalTrial
NPY2R,[125I]PYY-(3-36) (HUMAN),agonist,GuideToPharmacology
NPY2R,NPY-(16-36) (PIG),agonist,GuideToPharmacology
NPY2R,NPY-(2-36),agonist,GuideToPharmacology
NPY2R,CHEMBL:CHEMBL1585652,Unknown,DTC
NPY2R,"[LEU31,PRO34]NPY",agonist,GuideToPharmacology
NPY2R,PEPTIDE YY (3-36),Unknown,TdgClinicalTrial
NPY2R,NPY-(3-36) (PIG),agonist,GuideToPharmacology
NPY2R,PEPTIDE YY,agonist,GuideToPharmacology
NPY2R,"[LEU31,PRO34]NPY (PIG)",agonist,GuideToPharmacology
NPY2R,"[125I]NPY (HUMAN, MOUSE, RAT)",agonist,GuideToPharmacology
NPY2R,N6-PHENYLADENOSINE,Unknown,DTC
NPY2R,[PRO34]PYY (HUMAN),agonist,GuideToPharmacology
NPY2R,OBINEPITIDE,Unknown,TTD
NPY2R,"[LEU31,PRO34]PYY (HUMAN)",agonist,GuideToPharmacology
NPY2R,ECONAZOLE NITRATE,Unknown,DTC
NPY2R,NPY-(26-36) (PIG),agonist,GuideToPharmacology
NPY2R,NPY-(2-36) (PIG),agonist,GuideToPharmacology
NPY2R,PEPTIDE YY HUMAN (3-36),agonist,ChEMBL
NPY2R,[125I]PYY,agonist,GuideToPharmacology
NPY2R,"PYY-(13-36) (MOUSE, RAT, PIG)",agonist,GuideToPharmacology
NPY2R,NPY-(20-36) (PIG),agonist,GuideToPharmacology
NPY2R,PYY-(3-36),agonist,GuideToPharmacology
NPY2R,NEUROPEPTIDE-Y,Unknown,TTD
NPY2R,JNJ-5207787,inhibitor,GuideToPharmacology
NPY2R,SF-11 [PMID: 31267743],inhibitor,GuideToPharmacology
NPY2R,[D-TRP32]NPY,agonist,GuideToPharmacology
NPY2R,BIIE0246,inhibitor,GuideToPharmacology
NPY2R,"[ALA31,AIB32]NPY (PIG)",agonist,GuideToPharmacology
NPY2R,NEUROPEPTIDE Y-(3-36),agonist,GuideToPharmacology
NPY2R,NPY-(22-36) (PIG),agonist,GuideToPharmacology
NPY2R,NPY-(13-36) (PIG),agonist,GuideToPharmacology
NPY2R,NPY,agonist,GuideToPharmacology
NPY2R,C2-NPY (PIG),agonist,GuideToPharmacology
NPY2R,OBINEPITIDE,Unknown,TdgClinicalTrial
NPY2R,NEUROPEPTIDE Y,agonist,GuideToPharmacology
LEP,METRELEPTIN,Unknown,PharmGKB
LEP,CARVEDILOL,Unknown,NCI
LEP,RISPERIDONE,Unknown,NCI
LEP,LAMIVUDINE,Unknown,NCI
LEP,FOLIC ACID,Unknown,NCI
LEP,CYCLOSPORINE,Unknown,PharmGKB
LEP,TROGLITAZONE,Unknown,NCI
LEP,GEMFIBROZIL,Unknown,NCI
LEP,CLOZAPINE,Unknown,NCI
LEP,ANTICOAGULANT AGENT,Unknown,NCI
LEP,METHIMAZOLE,Unknown,NCI
LEP,MIRTAZAPINE,Unknown,NCI
LEP,LOVASTATIN,Unknown,NCI
LEP,FAT EMULSION,Unknown,NCI
LEP,ANHYDROUS TACROLIMUS,Unknown,PharmGKB
LEP,CALCIUM CHANNEL BLOCKER,Unknown,NCI
LEP,ESTRADIOL VALERATE,Unknown,NCI
LEP,ORAL CONTRACEPTIVE,Unknown,NCI
LEP,NICOTINE POLACRILEX,Unknown,NCI
LEP,METHADONE HYDROCHLORIDE,Unknown,NCI
LEP,BROMOCRIPTINE MESYLATE,Unknown,NCI
LEP,VALPROIC ACID,Unknown,NCI
LEP,PROPYLTHIOURACIL,Unknown,NCI
LEP,FELODIPINE,Unknown,NCI
CCL11,METHADONE HYDROCHLORIDE,Unknown,PharmGKB
CCL11,ROXITHROMYCIN,Unknown,NCI
CCL11,BERTILIMUMAB,inhibitor,ChEMBL
CCL11,TNF-ALPHA,Unknown,NCI
CCL11,BERTILIMUMAB,Unknown,TTD
CCL11,PAREGORIC,Unknown,PharmGKB
CCL11,TYROSINE KINASE INHIBITOR,Unknown,NCI
CCL11,MOMETASONE,Unknown,NCI
PAPPA2,ALBUTEROL SULFATE,Unknown,PharmGKB
TDO2,LM10,inhibitor,GuideToPharmacology
TDO2,DEXAMETHASONE,Unknown,NCI
TDO2,TCDD,Unknown,NCI
TDO2,THERAPEUTIC HORMONE,Unknown,NCI
TDO2,NAVOXIMOD,inhibitor,GuideToPharmacology
TDO2,"INSULIN, REGULAR, HUMAN",Unknown,NCI
TDO2,HYDROGEN PEROXIDE,Unknown,NCI
HCN2,ZD7288,blocker,GuideToPharmacology
HCN2,ZATEBRADINE,blocker,GuideToPharmacology
HCN2,CILOBRADINE,blocker,GuideToPharmacology
HCN2,CS+,blocker,GuideToPharmacology
PROC,LUSUTROMBOPAG,Unknown,PharmGKB
PROC,PROTHROMBIN COMPLEX CONCENTRATE,Unknown,ChEMBL
PROC,PROTEIN C CONCENTRATE (HUMAN),Unknown,ChEMBL
PROC,PROGESTERONE,Unknown,FDA
PROC,WARFARIN,Unknown,FDA
PROC,VITAMIN K3,Unknown,TEND
