Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance,Adjusted_P
TMEM132C,3.625552871467639,9.229250877192984,-1.145002775613039,1.7623688165421776e-61,60.75390320022149,Downregulated,2.349443623611098e-59
AQP7P1,1.9610290793072016,7.250170175438597,-1.478325219166708,1.827719185823372e-61,60.73809052928908,Downregulated,2.4208435409647632e-59
ADH1C,3.171840565177757,8.035988596491228,-1.1149984264603106,1.9929739532626586e-61,60.7004983771792,Downregulated,2.6005160433809804e-59
CDC25C,6.4590103008204185,2.654774561403509,1.0292018003954126,2.080352436165129e-61,60.68186308421232,Upregulated,2.6527859168196556e-59
HSD17B13,1.7595044667274384,6.532869298245614,-1.448790276770381,5.489589564228119e-61,60.26046012488584,Downregulated,6.125069225739309e-59
PPAPDC1A,6.383974475843209,1.491611403508772,1.5673184856119595,7.643750291768923e-61,60.11669350904222,Upregulated,8.182821239338755e-59
DPP6,1.5260191431175936,5.48430701754386,-1.3600868284310568,7.692569406684753e-61,60.11392857661392,Downregulated,8.182821239338755e-59
ANGPTL7,1.5359459434822242,6.768437719298246,-1.6151004997887597,9.209036720736614e-61,60.0357857952915,Downregulated,9.54856181195569e-59
MASP1,2.411868094804011,6.716582456140351,-1.1774001715676237,9.887966306209654e-61,60.00489302213513,Downregulated,1.0201002425451467e-58
TNMD,2.1403507748404738,7.15647456140351,-1.3770200008488944,1.1606068215339574e-60,59.93531488117296,Downregulated,1.1690328972912218e-58
ADRA1A,1.207807383773929,5.021281578947369,-1.4474562728819085,2.684723496744176e-60,59.571100436229536,Downregulated,2.4174286573753478e-58
RERGL,3.045338833181404,7.527672807017544,-1.0758915390049373,3.513274778026702e-60,59.454287882114045,Downregulated,3.0692566465058804e-58
ALDH1L1,3.738912032816773,9.161658771929826,-1.1005081384620008,1.3051730191806794e-59,58.88433191262096,Downregulated,9.673358152988935e-58
MAP1LC3C,2.2426298085688243,6.013174561403509,-1.1129033084266804,1.7798301828313645e-59,58.74962143262229,Downregulated,1.277619358514962e-57
ADH1A,1.8511773017319963,6.963495614035088,-1.4818440909061537,2.2072889090242574e-59,58.65614081890756,Downregulated,1.5626083207678623e-57
AQP7,3.845894986326345,9.748312280701755,-1.1492750969244376,4.012031126699352e-59,58.39663570623454,Downregulated,2.691731994481624e-57
GLYAT,1.6031226982680036,7.5544394736842095,-1.7164300109612276,4.414025815716138e-59,58.3551651311675,Downregulated,2.951789902171085e-57
ABCB5,2.030403919781221,6.275881578947367,-1.2636119600889764,4.93608242435345e-59,58.30661759691992,Downregulated,3.268960392644398e-57
HEPN1,1.6816283500455786,6.624278070175438,-1.5074914313760313,5.510606422246153e-59,58.25880060598607,Downregulated,3.5801503116681496e-57
LHCGR,0.4049292616226071,3.319285964912281,-1.620295343146212,5.797424557426043e-59,58.23676489417885,Downregulated,3.734108374641025e-57
LOC283392,1.6883574293527803,7.087166666666667,-1.588909380211968,1.0453162544650504e-58,57.98075229635667,Downregulated,6.406072449005219e-57
COL11A1,10.634455332725617,4.719464035087719,1.0244518074978095,1.0749592612938317e-58,57.96860799428841,Upregulated,6.568129057845941e-57
ADH4,0.7025992707383774,4.077265789473684,-1.576312867991189,1.2739507917776964e-58,57.89484734693956,Downregulated,7.51557751586095e-57
PRRG3,1.1005082041932543,3.793648245614034,-1.1903856282357623,1.3863570384798882e-58,57.85812490834392,Downregulated,8.155275071630976e-57
KCNJ16,1.973184503190519,6.762676315789473,-1.3845451384876566,1.5761060006921613e-58,57.80241457747616,Downregulated,9.218648488378939e-57
ANGPT4,1.0205996353691886,3.992814035087719,-1.3050696800262227,1.6248376091727484e-58,57.78919003712469,Downregulated,9.476680714862649e-57
B3GALT1,1.05015031905196,4.096474561403508,-1.3137699278583188,1.792360386065985e-58,57.74657466323203,Downregulated,1.0307327374211393e-56
NEIL3,5.571505104831358,2.1818210526315798,1.0463711361000672,1.807378797419833e-58,57.74295081678677,Upregulated,1.036466109246625e-56
APOB,1.7867443026435734,6.86970350877193,-1.4977286489728605,2.168802281991948e-58,57.663780038467046,Downregulated,1.2265980950218924e-56
DCT,0.7279241567912488,3.474417543859649,-1.372659996997153,2.821402983458433e-58,57.54953487875317,Downregulated,1.569739925485139e-56
DACT2,2.251471741112124,6.196717543859649,-1.1462461514788256,3.725803914494403e-58,57.4287800053426,Downregulated,2.0289324765137954e-56
SLC7A14,0.5978147675478578,2.8713,-1.2767179429093705,4.878545493281138e-58,57.31170964078393,Downregulated,2.6218989261010936e-56
SPC24,4.273716317228805,1.3057192982456145,1.1936030803014843,7.938790067332851e-58,57.1002456823489,Upregulated,4.157738777610802e-56
MMP13,7.552195989061076,1.7628412280701753,1.6301422580911142,2.0181037363464075e-57,56.69505651353772,Upregulated,9.98353486920283e-56
LOC647309,0.2213995442114859,1.5161140350877194,-1.0426620974654786,8.229708320976995e-57,56.08461555686974,Downregulated,3.7713373176262884e-55
KCNB1,2.831027073837739,6.709066666666665,-1.0088249829423952,8.817594683471789e-57,56.05464986817439,Downregulated,4.013862945713433e-55
ACSM2A,0.2733221513217866,1.7050166666666668,-1.0870400148968042,1.1718336853188734e-56,55.93113402199855,Downregulated,5.275821394648348e-55
NPY2R,1.354341476754786,6.713420175438597,-1.7120471154697672,1.7126932140204798e-56,55.76632042301826,Downregulated,7.465306089987357e-55
AQP7P3,0.5833596171376482,3.862974561403508,-1.618850083056401,2.959670996120378e-56,55.528756563437966,Downregulated,1.2711725010533757e-54
LEP,3.84287775752051,11.10067105263158,-1.3211505631215674,5.3882122801018205e-56,55.26855530265566,Downregulated,2.203585619730884e-54
CCL11,4.05607128532361,0.8892736842105263,1.4201850954092834,8.432154761964044e-56,55.0740614311104,Upregulated,3.3745055996709906e-54
STAB2,1.8927497721057427,5.868975438596491,-1.2476533928122209,1.3488502585120022e-55,54.87003626049233,Downregulated,5.294817553967763e-54
